Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link

Georg-Schumann-Str. 279,04159 Leipzig Gohlis-Mitte,370,105,01.07.2023,2,"Garten,Gartenmitbenutzung,Fahrradkeller",,,," ENGLISH This beautiful flat is located in the typical Leipzig neighborhood of Möckern, Northwest of Leipzig downtown. Tram stop, the Weisse Elster River and Lake Auensee are very close. The Wilhelminian style building is mostly renovated, the stucco street facade is just in progress. The beautiful room with about 20 sqm with stucco ceiling is facing the street. Well-cut entrance area, separate kitchen and bathroom with a shower. Beautiful stair case with historic old doors. Floor with oak style laminate.If you are new to Leipzig and want to stay longer this might be your perfect place to start, as long as you are not noise sensitive as the tram is passing by every 5 minutes in daytime. The apartment is fully furnished as on the photos, all the furnishings including the kitchen and washing machine should be taken over from the previous tenant for 1,800 euros. I am looking for a long term tenant, the contractual minimum rental period is one year.In Leipzig, you don't need a car. If you don't have one, you actively support a livable city and you raise the likelyness that the bikeway on Schumi will finally be completed. As a small thank-you I offer you to deduct 20 Euros off your rent.  +++ BESICHTIGUNG / VIEWING am Dienstag 20.06.2023 um 11 Uhr +++ (einfach vorbeikommen - bitte schau kurz vorher nochmal hier rein, falls sich der Termin verschiebt)  DEUTSCH Sehr gut geschnittene, charmante Wohnung mit schönem Bad mit Dusche, Flur mit kleiner Abstellecke und separater Küche.Das Zimmer hat Stuck und geht zur Straße. Schöner Leipziger Altbau mit historischem Treppenhaus. Aktuell wird die Hausfassade denkmalgerecht renoviert.  Die Wohnung eignet sich nur für eine Person. Die Vermietung erfolgt von privat und ist provisionsfrei (bitte keine Anfragen von Maklern!)."," Die Georg-Schumann-Straße - liebevoll ""Schumi"" genannt - wurde in den letzten Jahren deutlich aufgewertet, ist aber trotzdem immer noch ein bisschen rau.  Die Straßenbahnlinien 11 und 32 halten wenige Schritte entfernt am Möckernschen Markt.  In 15 min. bist du am Hauptbahnhof und in der Innenstadt, in 18 min. an der Uni. Mit dem Fahrrad ebenfalls, es gibt mehrereschöne Routen in die Innenstadt.  Die S-Bahnhöfe Leipzig-Möckern (S1) und Leipzig-Slevogtstraße (S3) liegen ebenfalls in Laufweite.  Unten im Haus befindet sich die Kneipe ""Peters Pub"".  Die Wohnung ist nicht für lärmempfindliche Leute geeignet. Obwohl die Fenster recht gut sind hört man die Straßenbahn und das Verkehrsrauschen, und auch von der Kneipe kann es ab und zu Lärm geben. Ansonsten ist das Haus typisch für Leipziger Altbauten hellhörig und das historische Treppenhaus knarzt. Man sollte diese Geräusche lieben oder sonst besser woanders hinziehen.  Der Flughafen und die Logistik- und Industriestandorte im Leipziger Norden sind schnell zu erreichen, auch mit dem Fahrrad. Ein Auto braucht man hier nicht.Wenn du tatsächlich kein Auto besitzt unterstützt du aktiv eine lebenswertere Stadt und du erhöhst die Chancen, dass auf der Schumi das letzte Stück Radstreifen endlich markiert wird. Daher will ich dich als Interessent*in ohne eigenes Auto gerne belohnen, indem ich dir als kleines Dankeschön monatlich 20 Euro von deiner Grundmiete erlasse.  Hohes Erholungspotenzial durch Nähe zum Auensee-Park und zu den Auenwäldern. Die Weiße Elster ist nur drei Minuten zu Fuß entfernt und großartig zum Schlauchbootfahren.  Schräg gegenüber befindet sich der ehemalige historische Straßenbahnhof Möckern. Ein Kindergarten ist gleich um die Ecke.",," Die Wohnung ist komplett und schön möbliert und die Möblierung soll inklusive Küche und Waschmaschine für 1.800 Euro von der Vormieterin übernommen werden. Die Wohnung ist also ideal für dich, wenn du noch keine eigenen Möbel hast.  Folgende Unterlagen solltest du bei ernsthaftem Interesse bitte vorlegen (nach der Besichtigung per Scan/Mail genügt): Mietschuldenfreiheit, Einkommensnachweis, Personalausweiskopie (Kopie der Haftpflichtversicherung und Hausratversicherung sobald ihr einzieht).  Über eine freiwillige Mietbürgschaft, z.B. von den Eltern, würde ich mich ebenfalls freuen.  In der Nebenkosten-Vorauszahlung ist außer Strom und Internet alles enthalten. Warmwasser läuft über Durchlauferhitzer.  Ein Kellerabteil bzw. Abstellraum ist in der Miete nicht enthalten und kann bei Interesse für 8 - 20 €/Monat hinzu gemietet werden (je nach Größe und Verfügbarkeit). Nichtraucher-Wohnung.  Hinweis zur Mietpreisbremse: gemäß § 556 e Absatz 2 BGB wurden in den letzten drei Jahren  diverse Modernisierungsmaßnahmen im Haus durchgeführt.  Ich suche ausschließlich Langzeitmieter. Die mietvertragliche Mindestmietdauer beträgt ein Jahr.",,0,,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Leipzig-Gohlis-Mitte.5365047.html,1-Zimmer-Wohnung  ,Gohlis-Mitte,    40,475 ,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Leipzig-Gohlis-Mitte.5365047.html

Waldstraße 38,04105 Leipzig Zentrum-Nordwest,290,182,01.08.2023,2,"Waschmaschine,Spülmaschine,Gartenmitbenutzung,Keller,Fahrradkeller,Aufzug",1,0,0," Ab dem 01.08. wird ein Zimmer bei uns frei.  
 Das Zimmer ist geräumig (ca. 21 Quadratmeter) und hat tagsüber herrlich viel Licht. Gegen Abend hat man einen Blick auf spektakuläre Sonnenuntergänge über den Dächern Leipzigs. Das Zimmer kann voll möbliert übernommen werden (Preis nach Absprache). Dazu gehören ein Bett, ein Kleiderschrank, ein Schreibtisch, Regale und wenn du magst jede Menge Pflanzen :) 
 Das Herzstück der Wohnung ist unsere große Wohnküche. Die ist top ausgestattet und bietet ordentlich Platz für ausgiebige Kochsessions, entspannte Feierabendrunden oder Spieleabende. Bäder gibt es sogar zwei: ein großes Tageslichtbad mit Wanne und ein kleines Gäste-WC. Und wenn du jetzt mit Sorge darauf schaust, dass die Wohnung im 4. Stock liegt: es gibt einen Fahrstuhl ;) 
 The room will be free from the beginning of August. It's spacious (approx. 21 square metres) and has a lot of light during the day. Towards the evening you have a view of spectacular sunsets over the roofs of Leipzig. The room can be taken over fully furnished (price will be discussed). This includes a bed, a wardrobe, a desk, shelves and if you like lots of plants. 
 The main act of our flat is our large open kitchen. It is well equipped and offers plenty of space for extensive cooking sessions, a chill evening or game nights. There are even two bathrooms: a large daylight bathroom with a bathtub and a small guest toilet. And if you're worried about the fact that the flat is on the 4th floor: there's a lift ;)"," Die Lage der Wohnung ist unschlagbar im schönen und zentralen Waldstraßenviertel. Direkt auf der Waldstraße gelegen gibt es hier alles Wichtige um die Ecke: Supermarkt, Friseur, Apotheke Bäcker, Blumenladen, Post… Auch die Straßenbahnhaltestelle liegt vor der Haustür (momentan wird da noch ein bisschen gebaut, aber das sollte bald erledigt sein). Zur Uni und in die Innenstadt sind's nur ca. 7 min mit dem Fahrrad. Und wenn es einen ins Grüne zieht, hat man die Auswahl zwischen dem Rosental-Park (3 min mit Fahrrad),  Palmengarten, Richard-Wagner-Hain oder Clara-Park (alle nicht weiter als 5 min).  
 The location of the flat is great, in the beautiful and central Waldstraßenviertel. Located directly on Waldstraße, everything important is around the corner: supermarket, hairdresser, pharmacy, bakery, flower shop, post office... The tram stop is also only footsteps away (there's currently some roadwork going on but that should hopefully be completed very soon). The university and the city centre are only about 7 minutes by bike. And if you want to go out into Leipzigs green parks, you can choose between the Rosental Park (3 min by bike), Palmengarten, Richard-Wagner-Hain or Clara Park (all within 5 min).","Unser WG Leben ist ziemlich entspannt und bei Gelegenheit machen wir was zusammen in unserer Riesen-Küche oder starten nen Filmabend. Ganz nach dem Motto: Alles kann, nichts muss ;) Ich arbeite Vollzeit in der Softwarebranche amAugustusplatz, meist endet der Abend also eher in ner gemütlichen Kochrunde zum Auspannen, bei der nebenbei gequatscht wird. Ich bin ab und an mal im Home Office (meist 2 Tage die Woche), bin an den Tagen also die perfekte Päckchen-Entgegennehmerin ;). Abgesehen davon spanne ich super gerne im Park aus, lese gerne, backe, wenn's die Zeit erlaubt (gerne auch zum Mitnaschen ;)) und bin an den Wochenenden viel auf Achse, um Freunde und Familie zu sehen. Wenn ich die Motivation aufbringen kann, gehe ich zum Sport oder Schwimmen, das variiert aber durchaus gerne mal ;) Das einzige was mir wirklich wichtig ist, ist dass du Sauberkeit achtest und kein ignoranter Arsch bist, das sollte aber denk ich nicht so schwer zu finden sein ;D Ansonsten kannst'e kommen wie du bist :) 
 Our flat-sharing life is pretty relaxed and on occasion we cook something together in our huge kitchen or have a movie night. True to the motto, everything is possible, nothing mandatory ;) I work full-time in the software industry at Augustusplatz, so the evening usually ends with a cosy cooking session to relax and chat. I'm in home office from time to time (usually 2 days a week), so I'm the perfect person to receive parcels on those days ;). Apart from that, I love to relax in the park, read, bake when daily life allows for it (I also love to share ;)) and am away a lot on the weekends to see friends and family. Once in a while I am motivated enough go to the gym or swimming, but that really depends on the mood ;) The only thing that's really important to me is that you value cleanliness and that you're not an ignorant dick, but I doubt that that's hard to find ;D Other than that ... come as you are :)"," Ich würd mich sehr über ne*n nette*n und offene*n, Mitbewohner*in freuen, der/die auf eigenen Beinen steht, Verständnis dafür hat, wenn man sich nach nem langen Arbeitstag zurückzieht und generell entspannt an das Konzept WG herantritt. Bitte schreib gerne eine Nachricht und erzähle ein bisschen was über dich :) (gerne auch an ) 
 Besichtigungstermine können ab dem 12.06. stattfinden und sind auch via Skype möglich. Da ich voll arbeite wären Termine ab 17:15 ideal. 
 Freue mich, von dir zu hören :) 
 Esther 
 I am looking for an open minded and friendly flatmate, with a sense of independence, who understands when you retreat after a long day at work and is generally relaxed about the concept of a shared flat.  
 I'd love to get to know you so please send a message and tell us a little bit about you :) (email: ) 
 Viewing appointments take place starting June 12th and are also possible via Skype. Past 17:15 would be ideal since I work fulltime it. 
 Looking forward to meeting you :) 
 Esther",0.0,0,,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum-Nordwest.8998634.html,2er WG,Zentrum-Nordwest,    21,472 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum-Nordwest.8998634.html

Zum Kleingartenpark,04318 Leipzig Sellerhausen-Stünz,390,90,01.08.2023,1,"Waschmaschine,Balkon,Gartenmitbenutzung,Keller,Fahrradkeller",,,," Erstbezug nach vollständiger Renovierung. 
 Großer Südbalkon zum ruhigen umbauten Innenhof (kein Verkehrslärm). 
 Kleine Einbauküche, u.a mit Ofen, Kochfeld, Spüle, Kühlschrank.  
 Das Badezimmer wurde ebenso vollständig saniert. Es wurden u.a neue Fliesen in Holzoptik verlegt. Zudem wurde ein neues Waschbecken, eine neue Toilette und eine neue Dusche (Rainshower) eingebaut. Eine eigene Waschmaschine ist im Bad zusätzlich vorhanden.  
 Dazu gibt es einen gemeinsamen Trockenraum, in dem auch gewaschen / getrocknet werden kann.  
 Die Wohnung kann bei Bedarf möbliert übernommen werden. Sämtliche Möbel sind neuwertig, wie auch ein 1,8 x 2,0 Meter großes Boxspring-Bett samt Matratze.  
 Bei Bedarf kann ein Tiefgaragenstellplatz für 50 Euro dazu gemietet werden. Dieser ist sehr lang und verfügt soneben ausreichend Platz für einen gewöhnlichen Pkw im hinteren Bereich auch über zusätzliche Abstellfläche (z.B. Fahrrad und / oder Motorrad). 
 Weiterer Stauraum besteht durch ein eigenes Kellerabteil.  
 In fußläufiger Entfernung befinden sich alle Geschäfte des täglichen Bedarfs, Die Straßenbahn-, und Bushaltestelle befindet sich in ca. 200 Meter Entfernung. Von der Wohnung zum Hauptbahnhof Leipzig sind es 10 Minuten mit den öffentlichen Verkehrsmitteln.  
 Die gesamte Anlage wurde 1994 erbaut und befindet sich in einem gepflegtem Zustand.
 Folgende Kosten sind in der Nebenkostenvorauszahlung bereits enthalten: 
 - Strom 
 - Heizung, Warm-, und Kaltwasser 
 - Kabelfernsehen 
 Nicht in der Nebenkostenvorauszahlung enthalten sind: 
 - Internet / Telefon"," 04318 Leipzig, Zum Kleingartenpark",,,,0,,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Leipzig-Sellerhausen-Stuenz.10146306.html,1-Zimmer-Wohnung  ,Sellerhausen-Stünz,    36,480 ,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Leipzig-Sellerhausen-Stuenz.10146306.html

Henricistr. 52,04177 Leipzig Altlindenau,560,140,22.08.2023,,,,,," [English below]  Liebe alle  Meine schnuckelige 2-Raumwohnung wird im Sommer von August bis September leer stehen, da ich in dieser Zeit verreisen werde. Ich suche auf diesem Wege nach einer*m Untermieter*in für diesen Zeitraum, die Wohnung sollte auch genügend Platz für zwei bieten.  Die Einrichtung bleibt komplett bestehen, Kleider und persönliche Gegenstände werden allerdings weggeräumt. Das kann aber bei einem persönlichen Treffen gerne alles nochmals besprochen werden. Wichtig ist mir, dass meine Pflanzen glücklich überleben - denn inzwischen bin ich eine echte Pflanzenmama :D  Die Wohnung verfügt neben einer Grundausstattung auch über zwei Nähmaschinen, eine Hängematte im Wohnzimmer (max.1 Pers.), Yogamatte, -blöcke und -rad sowie Keyboard, Gästesofa und ausreichend Spiegelfläche zum Tanzen oder Trainieren. Ein paar Jonglagespielzeuge gibt es auch und auch mein Fahrrad stelle ich gerne zur Verfügung.  __________  Dear all  I am subletting my lovely 2 room apartment from August to September because I’ll be travelling. It is a cozy place with a bed and a living room for one person, but it provides enough space for two people, too.The apartment is fully equipped, but clothes and personal belongings will of course be stored away. What exactly should be put away or you’re happy to use yourself can be discussed in person. What is important to me is that you’re taking great care of my plants – as I’m a real and proud plant-mama by now :D  Next to the basic amenities, the apartment offers a hammock in the living room (max. 1 pers.), two sewing machines, a yoga mat, yoga blocks as well as a yoga wheel, a Yamaha Keyboard, a sofa for guests and plenty of mirrors for dancing or practicing. There are also some juggling toys and my bicycle can be used, too."," Die Wohnung liegt direkt hinter Kaufland am Lindenauer Markt. Die Strassenbahnstationen 'Lindenauer Markt' und 'Angerbrücke' sind beide in 7-8 Gehminuten zu erreichen. 
 Die Lage ist ruhig, trotzdem ist man nach 15 Minuten Fussmarsch in der Karl-Heine-Str. und imPalmengarten. Mit dem Fahhrad ist man ebenso schnell im Auwald oder im Clara-Zetkin-Park. 
 Zum Einkaufen gibt es Kaufland und dm in kürzester Entfernung, ein Angebot mit wöchentlich neuen Superschnäppchen sowie ein Lidl sind auch nicht weit. 
 Zum Essen, Trinken und Ausgehen gibt es ein paar Bars und Restaurants, ansonsten wird man spätestens in Plagwitz fündig. 
 __________ 
 The apartment is located behind Kaufland at Lindenauer Markt. The next stops for public transport are ‘Lindenauer Markt’ and ‘Angerbrücke’ and both can be reached within 7-8 minutes walking. 
 The neighbourhood is quiet, but within 15 minutes by foot you’ll be at Karl-Heine-Str. and in Palmengarten. And Auwald as well as Clara-Zetkin-Park is about 15 minutes by bike. 
 There is Kaufland and dm for shopping only a 5 minutes walk from the apartment. In 10 minutes walk you’ll be at Lidl or ‘Angebot’ where you find groceries that are about to expire and therefore for sale. 
 For food, drinks and nightlife there are a few bars and restaurants, otherwise you’ll definitely find a place in Plagwitz the hip neighbourhood.",," Falls bis zu dieser Zeile noch immer Interesse besteht, freue ich mich, von dir/euch zu hören :) 
 Weitere Infos sowie genauer Ein- und Auszug, bürokratische und finanzielle Fragen lassen sich am besten bei einem persönlichen oder virtuellen Kennenlernen besprechen. 
 Ah, noch was. Aufgrund meiner persönlichen Putz- und Ernährungsweise würde ich mich sehr über umweltbewusste und im besten Falle vegetarische/vegane Interessenten*innen freuen. Ist kein Muss, aber ein Plus :) 
 __________ 
 If you’re still reading and interested up to that point, I’m happy to hear from you! 
 Everything else about the dates of moving in and out, paperwork as well as financial stuff is best discussed in person or online. 
 Oh, and last but not least. For personal cleaning and diet reasons, I’d be very happy to have someone with a sense for the environment and maybe a vegetarian/vegan diet living here. It’s not a must, but a plus :)",,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Altlindenau.8930309.html,2-Zimmer-Wohnung  ,Altlindenau,    51,700 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Altlindenau.8930309.html

Ostheimstr. 20 b,04328 Leipzig Sellerhausen-Stünz,409,240,17.07.2023,4,"Gartenmitbenutzung,Keller,Haustiereerlaubt,Dachboden",,,," Die Wohnung liegt im 1. OG. Sie besteht aus einem geräumigen Wohnzimmer und einem kleineren Schlafzimmer. Daher ist die Wohnung nur bedingt WG-geeignet. 
 Das Badezimmer ist so groß, dass darin problemlos Wäsche getrocknet werden kann. Eine Einbauküche ist vorhanden.  Dort befindet sich momentan auch ein selbstgebauter Klapptisch aus Holz, der gern gegen einen kleinen Abschlag übernommen werden kann. 
 Auf halber Treppe gibt es einen Abstellraum. Außerdem ist ein sehr großes Kellerabteil vorhanden. 
 Unten vor dem Gebäude gibt es eine kleine Wiese und die Möglichkeit Wäsche draußen aufzuhängen. 
 Ein großer Trockenboden ist ebenfalls vorhanden. 
 Mit der Vermietung habe ich bisher gute Erfahrungen gemacht - es wird schnell aufE-Mails geantwortet und es gibt ein Büro am Ende der Straße. 
 Ich habe kein Auto; die Parksituation vor dem Gebäude am Straßenrand war bisher aber gut. 
 Ich selbst bin Nichtraucherin und habe keine Haustiere, einige Nachbarn haben jedoch welche. Es scheint nach Absprache also möglich zu sein. 
 Die Wohnung wäre ab Mitte bis Ende Juli bezugsfertig. Dazu können wir uns gern absprechen. Schreibt mir gern eine Nachricht, damit wir einen Besichtigungstermin vereinbaren können: (siehe unten) 
 Viele Grüße 
 Carmen"," Die nächste Straßenbahnhaltestelle heißt Ostheimstraße und ist in ca 3 Gehminuten zu erreichen. 
 In der Nähe befindet sich ein Penny, ein Aldi und ein Rewe Markt.",,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Sellerhausen-Stuenz.10168140.html,2-Zimmer-Wohnung  ,Sellerhausen-Stünz,    55,649 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Sellerhausen-Stuenz.10168140.html

Johannisallee 7,04317 Leipzig Reudnitz,198,70,14.06.2023,3,"Waschmaschine,Spülmaschine,Keller,Fahrradkeller,Aufzug",1,3,0," Wenn du auf der Suche nach einem cozy Zimmer bist und Sonnenbaden dein Ding ist, bist du richtig im Chateau Ostplatz. Obendrauf gibt es noch ein kleines Foyer, das du nach deinem Willen gestalten kannst. Wir haben schon einige Interpretationen erlebt: Von begehbarem Kleiderschrank bis Zockerhöhle. Das DIY-Bett ist mittlerweile aufgebockt. Richtig gehört! Oben glänzen unten wandeln. Für alle Hochbettconnaisseur*innen. Obendrein gibt's sehr viel Gemeinschaftsfläche."," 1A Lage am Miami Beach des Ostens - der Lené Promenadé. 
 Die Öffis am Ostplatz lassen sich zu Fuß in 3 Minuten erreichen: 12 und 15 Richtung Zentrum, 60 Richtung Südwest. 
 Zum Aufstocken deines Kühlschrankfaches sind Konsum, Penny, K-Land, Rewe und Denns fußläufig erreichbar. Für nächtliche Gelüste gibt es einen rudimentären Späti um die Ecke wo du das Allernötigste (Gummibärchen und Kippen) erwerben kannst. 
 Der nahegelegene Friedenspark lädt zum ausgedehnten Flanieren ein. Hier finden auch unsere Allsommerlichen, heißblütigen Federballmatches statt.","Elisa - Kosmopolit und stehts auf der Suche nach Erleuchtung, pitcht die angehende Stardesignerin des Bauhaus Dessau gerne ihre neuesten Designs beim 'Morning Meeting' am Küchentisch. Spuren ihres immensen Outputs garnieren die ganzen Wohnung. Am Wochenende heißt es dann: schnelle Brille, turbo Outfit, USB-Stick- ABFAHRT!
 Marco - Immer auf der Suche nach dem nächsten Joke, ist besessen von gut durchgetrocknetem Holz und kreischenden Bandsägen. Wenn er nicht gerade ganz nebenbei die Wohnung mit ausgeklügelten Konstruktionen aller Art ausstattet,lässt er sich gerne zu henkellosen Getränken verführen. Seit Marco Elisa ihren größten Wunsch nach einem Kackschemel erfüllt hat, ist sie ihm hoffnungslos verfallen. Manchmal träumt er von seiner eigenen Kneipe - dem Champalace. Dauerseller: Sternpagner, Aperol-Sprit, Polarstern. 
 Franz- Als Marco das erste Mal Franz Bart erblickte, entledigte er sich vor Zuneigung seines Kopfkissens. Auch ist er der beste beidhändig shakende Barartist, der seine Arbeit gerne mit nach Hause nimmt. Mit zunehmender Kamera Obsession ließen sich vermehrt Klatschpresse-Allüren feststellen. Marco und Elisa haben bereits Ermittlungen aufgenommen und sind dem Fall auf der Spur.
 Alessio: Nach seinem Ehrenamt erholt sich Alessio im Alltag beimAmateurfußball und im Fitti. Unser Goldjunge widerspricht dabei aber allen Klischees. Wir sind uns sicher: in einer Boyband wäre er definitiv der Süße und wir mit BH's und Rosen bewaffnet in der ersten Reihe. 
 Das WG-Leben: 
 Der Hotspot der WG ist noch die Küche. Auf den leofellbezogenen Bänken werden ausgiebige Sektabende zelebriert, rohe Diamanten geschliffen und manchmal auch gekocht (Kochstile können variieren). Eigentlich würden wir den weitläufigen Flur bevorzugen. Dazu bräuchten wir allerdings erstmal eine Idee für den Raum. 
 Kochstile:
 Franz: Aufwendig mit einer guten Prise Italiano (Nudelmaschine). 
 Marco: Servieren ist alles! (Geheimzutat Liebe). 
 Elisa: Maggi meets Asia (frisch mit ein Hauch Glutamat). 
 Alessio: vom reiskocher zur tupperware, alles für den mealprep (protein)",,,0,"keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz.9769331.html,5er WG,Reudnitz,    12,268 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz.9769331.html

Prager Str.,04317 Leipzig Reudnitz-Thonberg,840,185,15.11.2023,1,"Waschmaschine,Spülmaschine,Terrasse,Gartenmitbenutzung,Keller,Fahrradkeller",,,," Die Altbau-Wohnung ist vollmöbliert verfügt über 3 Zimmer (eins mit Erker)+ Küche und Bad und ist perfekt WG geeignet bzw. groß genug, um als Paar gemeinsam zusammenzuwohnen und sie bietet dennoch genügend Freiraum für jeden.  
 Das Zimmer mit Erker eignet sich als Gemeinschaftszimmer und die beiden andern Zimmer können als jeweilige WG bzw. Schlaf- und Arbeits- oder Kinderzimmer genutzt werden.  
 Die Küche ist voll ausgestattet mit Kühlschrank, Induktionsherd, Backofen, Spülmaschine und Mikrowelle. Des Weiteren  sind alle gängigen Haushaltsgeräte vorhanden.  
 Das Bad mit Fenster verfügt über ein Waschbecken, Badewanne mit Regendusche, Toilette (selbstverständlich) und einer Waschmaschine.  
 Im Hinterhof befindet sich ein schöner  Gemeinschaftsgarten der zu gemütlichen Grillabenden einlädt.  
 Kostenverteilung: 
 Kaltmiete:	  840 € 
 Betriebskosten:	185 € 
 Strom:	  67 € 
 Internet:  	 29,99 € 
 Gesamt:	  1.122 €"," Unsere wunderschöne Altbau-Wohnung  liegt direkt am Alten Messegelände mit Blick auf das „Messe M“ (Symbol der Messestadt Leipzig). Von der Haustür aus ist das Völkerschlachtdenkmal, der Wilhelm-Külz-Park oder der Friedenspark in 5-10 min Fußweg erreichbar. In der Innenstadt von Leipzig oder in Leipzigs Kneipenvirtel ist man mit den Öffi‘s in 10 min.  
 Direkt an der Prager Straße (1 min zu Fuß- man stolpert von der Haustür in die Straßenbahn, S-Bahn) liegt die Haltestelle „Altes Messegelände“ sowie die S-Bahn-Haltestelle „Völkerschlachtdenkmal“. Und unweit entfernt befindet sich der Hit-Supermarkt zum Einkaufen.",," Die Wohnung wird ab dem 15.11.2023 für 1 Jahr zwischenvermietet, also bis 15.11.2024.  
 Für diese Zeit sucht diese schöne Altbau-Wohnung ein oder mehrere Gesellen, die der Wohnung leben verleihen.  
 Bei Interesse meldet Euch gerne und wir vereinbaren zeitnah einen Besichtigungstermin.  
 Liebe Grüße  
 Lisa & Marcus",,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Reudnitz-Thonberg.10167361.html,3-Zimmer-Wohnung  ,Reudnitz-Thonberg,    85,1121 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Reudnitz-Thonberg.10167361.html

eisi,04315 Leipzig eisi,14,0,22.06.2023,1,,0,3,0, Ich vermiete mein Zimmer für 10 Tage unter.  Schreibt mir gerne für mehr Details.,,,,,1,Zweck-WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-eisi.10154843.html,4er WG,eisi,    21,14 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-eisi.10154843.html

Oststraße 52,04317 Leipzig Reudnitz-Thonberg,290,60,15.07.2023,2,"Waschmaschine,Spülmaschine,Terrasse,Balkon,Gartenmitbenutzung,Keller,Fahrradkeller",1,2,0," Das Zimmer ist recht groß, hell und gemütlich eingerichtet. Ich werde die Möbel während des Zeitraums im Zimmer lassen sodass du also bereits alles wichtige zum Leben stehen hast. Die Schränke räume ich aus für deine Klamotten, so das du es dir dann in dem halben Jahr gemütlich machen kannst. Ansonsten hätte ich noch ein paar Pflanzen im Zimmer die du eventuell gießen müsstest."," Die Wohnung befindet sich im Herzen von Reudnitz. Alles wichtige, wie Supermarkt, Öffis, Parks (Lene-Voigt Park ist eine Querstraße weiter + Reudnitzer - und Friedenspark sind nur 5-10 min entfernt) und gutes Essen ist direkt um die Ecke.","Du würdest für Tim einziehen, der für ein halbes Jahr ein Praktikum in einer anderen Stadt machen wird. In der Zeit wohnst du dann mit Lorenz, Frauke und Lukas zusammen.
 Lorenz (26) macht gerade eine Ausbildung zum Zweiradmechaniker und ist außer wenn er Schule hat, Vollzeit arbeiten. 
 Er schraubt vorliebend an Fahrrädern, kocht gern, ist oft in der Natur, auf Konzerten und geht gerne mit Friends aus.
 Und dann wohntnoch Frauke (28) hier, die gerade im Master Kulturwissenschaften studiert. Nebenbei hat sie noch ein Nebenjob im Sportpark. Sie quatscht gerne mal länger auf ne Tasse Kaffee und Kippen, spielt gerne Volleyball, nutzt aber auch die Gelegenheit einfach nur zu chillen und Trash-TV zu schauen. Lukas (25) studiert eigentlich in Mittweida, ist da aber nicht so oft. Nebenbei arbeitet er viel in der Gastro und liebt es am Wochenende feiern zu gehen, oder in seinem Zimmer Musik zu produzieren. 
 Wir haben ein ziemlich familiäres und freundschaftliches WG Leben, kochen/essen gemeinsam, teilen kommunistisch den Kühlschrank und haben so gut wie immer die Türen offen stehen. Wir kommunizieren Probleme offen, und nehmen Rücksicht aufeinander.
 Wir sitzen gerne zusammen in der Küche oder aufm Balkon und verbringen so viele Abende mit Bier und guter Laune. Der Lautstärkepegel ist bei uns nicht unbedingt der niedrigste, aber geht auch ruhiger wenn es gewollt ist."," Wir suchen Menschen die Lust auf ein WG-Leben haben, aber auch schon ein bisschen gesettled im Leben sind. Falls du Interesse hast, melde dich gerne.",1.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.9856863.html,4er WG,Reudnitz-Thonberg,    20,390 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.9856863.html
